"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:53:04,7963488","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2607","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2607"
"16:53:04,7963823","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7965378","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7966116","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2608","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2608"
"16:53:04,7966449","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7967999","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7968739","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2609","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2609"
"16:53:04,7969072","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7970617","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7971358","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2610","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2610"
"16:53:04,7971692","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7973269","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7974023","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2611","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2611"
"16:53:04,7974358","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7976071","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7976863","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2612","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2612"
"16:53:04,7977244","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7978866","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7979649","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2613","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2613"
"16:53:04,7980003","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7982011","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7982965","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2614","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2614"
"16:53:04,7983402","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7985369","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7986195","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2615","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2615"
"16:53:04,7986568","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7988233","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7989017","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2616","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2616"
"16:53:04,7989371","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7990977","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7991737","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2617","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2617"
"16:53:04,7992082","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7993664","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7994424","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2618","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2618"
"16:53:04,7994764","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7996345","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7997112","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2619","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2619"
"16:53:04,7997459","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,7999034","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,7999795","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2620","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2620"
"16:53:04,8000139","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8001707","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8002470","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2621","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2621"
"16:53:04,8002807","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8004375","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8005128","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2622","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2622"
"16:53:04,8005462","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8007028","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
